Ensembl_gene_id,Ensembl_transcript_id,Gnomad_oe_lof_score,Gnomad_oe_ci_lower,Gnomad_oe_ci_upper,Gnomad_pLI_score,Gnomad_pnull_score,Gnomad_prec_score,Gnomad_oe_mis_score,Gnomad_mis_z_score
ENSG00000121410,ENST00000263100,1.05,0.8220000000000001,1.34,1.77e-16,0.843,0.157,1.09,-0.861
ENSG00000148584,ENST00000373997,0.643,0.506,0.825,7.66e-10,0.00196,0.998,0.8759999999999999,1.24
ENSG00000175899,ENST00000318602,0.645,0.546,0.765,9.76e-20,9.69e-06,1.0,0.813,2.76
ENSG00000166535,ENST00000299698,0.83,0.725,0.953,1.71e-40,0.10099999999999999,0.899,0.893,1.66
ENSG00000184389,ENST00000442999,1.02,0.698,1.53,1.02e-06,0.425,0.575,1.57,-4.08
ENSG00000128274,ENST00000642412,0.616,0.302,1.39,0.0755,0.126,0.7979999999999999,1.03,-0.278
ENSG00000118017,ENST00000236709,0.701,0.38299999999999995,1.38,0.0191,0.14400000000000002,0.8370000000000001,0.861,1.06
ENSG00000094914,ENST00000209873,0.7440000000000001,0.605,0.9209999999999999,8.919999999999999e-16,0.015,0.985,0.91,0.887
ENSG00000081760,ENST00000316519,0.787,0.643,0.9670000000000001,8.85e-18,0.048,0.9520000000000001,0.956,0.484
ENSG00000114771,ENST00000232892,0.741,0.501,1.13,6.35e-05,0.109,0.8909999999999999,0.956,0.35100000000000003
ENSG00000197953,ENST00000356517,1.05,0.741,1.53,6.96e-08,0.514,0.486,0.94,0.467
ENSG00000188984,ENST00000359318,0.737,0.45399999999999996,1.25,0.0017699999999999999,0.13699999999999998,0.861,0.983,0.133
ENSG00000204518,ENST00000376221,0.609,0.366,1.06,0.0118,0.0721,0.9159999999999999,0.978,0.183
ENSG00000109576,ENST00000337664,0.39299999999999996,0.255,0.625,0.46299999999999997,0.00079,0.536,0.7240000000000001,2.03
ENSG00000103591,ENST00000261880,0.8390000000000001,0.617,1.16,1.57e-08,0.198,0.802,1.16,-1.0
ENSG00000115977,ENST00000409085,0.29600000000000004,0.218,0.406,1.0,2.04e-14,5.34e-06,0.78,2.7
ENSG00000087884,ENST00000393427,1.01,0.667,1.57,1.09e-05,0.37200000000000005,0.628,0.96,0.171
ENSG00000127837,ENST00000248450,0.23,0.146,0.37200000000000005,1.0,8.81e-11,2.3800000000000003e-05,0.727,2.4
ENSG00000129673,ENST00000392492,0.7759999999999999,0.48700000000000004,1.28,0.000688,0.158,0.841,1.08,-0.466
ENSG00000131043,ENST00000320849,1.09,0.8190000000000001,1.47,5.419999999999999e-12,0.752,0.248,0.831,1.41
ENSG00000205002,ENST00000378279,1.03,0.618,1.72,0.000429,0.317,0.682,1.17,-0.8690000000000001
ENSG00000090861,ENST00000261772,0.632,0.519,0.772,4.04e-14,8.1e-05,1.0,0.92,1.05
ENSG00000124608,ENST00000244571,0.623,0.518,0.752,1.82e-15,1.7199999999999998e-05,1.0,0.858,1.9
ENSG00000266967,ENST00000427569,0.878,0.6920000000000001,1.12,2.39e-14,0.326,0.674,0.925,0.6459999999999999
ENSG00000157426,ENST00000205214,0.773,0.635,0.946,3.29e-18,0.0288,0.971,0.9279999999999999,0.9059999999999999
ENSG00000149313,ENST00000278618,0.489,0.326,0.754,0.0218,0.0058200000000000005,0.972,0.937,0.433
ENSG00000008311,ENST00000417368,0.785,0.653,0.948,4.5099999999999996e-21,0.0328,0.9670000000000001,0.879,1.51
ENSG00000275700,ENST00000619387,0.8079999999999999,0.637,1.03,2.97e-13,0.114,0.8859999999999999,0.9059999999999999,0.884
ENSG00000181409,ENST00000326724,1.32,1.12,1.57,5.36e-39,1.0,4.02e-05,1.39,-5.68
ENSG00000183044,ENST00000268251,0.68,0.534,0.871,1.18e-10,0.00588,0.9940000000000001,0.9209999999999999,0.753
ENSG00000165029,ENST00000374736,0.486,0.42100000000000004,0.563,2.31e-12,8.82e-16,1.0,0.8440000000000001,3.08
ENSG00000154263,ENST00000690296,0.907,0.789,1.04,8.72e-43,0.88,0.12,0.935,0.963
ENSG00000144452,ENST00000272895,0.509,0.444,0.5820000000000001,4.81e-17,2.81e-16,1.0,0.8590000000000001,2.93
ENSG00000179869,ENST00000435803,0.981,0.905,1.06,2.999999999999999e-140,1.0,5.720000000000001e-09,1.0,-0.0978
ENSG00000107331,ENST00000341511,0.363,0.303,0.436,1.0,5.59e-23,9.37e-06,0.82,3.74
