HGNC ID	Approved symbol	Approved name	Status	Previous symbols	Alias symbols	Chromosome	Accession numbers	RefSeq IDs	NCBI Gene ID	Ensembl gene ID
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved			19q13.43		NM_130786	1	ENSG00000121410
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926	NR_015380	503538	ENSG00000268895
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790	NM_014576	29974	ENSG00000148584
HGNC:6	A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)	Symbol Withdrawn							
HGNC:7	A2M	alpha-2-macroglobulin	Approved		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313	NM_000014	2	ENSG00000175899
HGNC:27057	A2M-AS1	A2M antisense RNA 1	Approved			12p13.31		NR_026971	144571	ENSG00000245105
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	CPAMD9	FLJ25179, p170	12p13.31	AK057908	NM_144670	144568	ENSG00000166535
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved			12p13.31				ENSG00000256661
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved			12p13.31				ENSG00000256904
HGNC:8	A2MP1	symbol withdrawn, see [HGNC:56245](/data/gene-symbol-report/#!/hgnc_id/HGNC:56245)	Symbol Withdrawn	A2MP		12p13.31				
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)	Symbol Withdrawn							
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)	Symbol Withdrawn							
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	A3GALT2P	IGBS3S, IGB3S	1p35.1		NM_001080438	127550	ENSG00000184389
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	Approved	P1	A14GALT, Gb3S, P(k)	22q13.2		NM_017436	53947	ENSG00000128274
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved		alpha4GnT	3q22.3	AF141315	NM_016161	51146	ENSG00000118017
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C	Entry Withdrawn							
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A	Entry Withdrawn							
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B	Entry Withdrawn							
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17	Entry Withdrawn							
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	Symbol Withdrawn	AA		11p15				
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved			12q13.13	AJ289841		8086	ENSG00000094914
HGNC:12	AABT	amino acid transport, beta	Entry Withdrawn							
